pathways,genes
BIOCARTA_CARM1_PATHWAY,CARM1 CREB1 CREBBP EP300 NCOA3 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B RARA RXRA
BIOCARTA_CARM_ER_PATHWAY,BRCA1 CARM1 CCND1 CREBBP EP300 ERCC3 ESR1 GRIP1 GTF2A1 GTF2E1 GTF2F1 HDAC1 HDAC10 HDAC11 HDAC2 HDAC3 HDAC4 HDAC5 HDAC6 HDAC7 HDAC8 HDAC9 MED1 MEF2C NCOR2 NR0B1 NRIP1 PELP1 PHB2 POLR2A PPARGC1A SPEN SRA1 TBP
BIOCARTA_CASPASE_PATHWAY,APAF1 ARHGDIB BIRC2 BIRC3 CASP1 CASP10 CASP2 CASP3 CASP4 CASP6 CASP7 CASP8 CASP9 DFFA DFFB GZMB LMNA LMNB1 LMNB2 PARP1 PRF1 XIAP
BIOCARTA_CBL_PATHWAY,CBL CSF1R EGF EGFR GRB2 MET PDGFRA PRKCA PRKCB SH3GLB1 SH3GLB2 SH3KBP1 SRC
BIOCARTA_CCR3_PATHWAY,CCL11 CCR3 CFL1 GNAQ GNAS GNB1 GNGT1 HRAS LIMK1 MAP2K1 MAPK1 MAPK3 MYL2 NOX1 PIK3C2G PLCB1 PPP1R12B PRKCA PRKCB PTK2 RAF1 RHOA ROCK2
BIOCARTA_CCR5_PATHWAY,CALM1 CALM3 CCL2 CCR5 CXCL12 CXCR4 FOS GNAQ JUN MAPK14 MAPK8 PLCG1 PRKCA PRKCB PTK2B
BIOCARTA_CDC42RAC_PATHWAY,ACTR2 ACTR3 ARPC1A ARPC1B ARPC2 ARPC3 ARPC4 ARPC5 CDC42 PAK1 PDGFRA PIK3CA PIK3R1 RAC1 RHOA WASL
BIOCARTA_CDK5_PATHWAY,CDK5 CDK5R1 EGR1 HRAS MAP2K1 MAP2K2 MAPK1 MAPK3 NGF NGFR RAF1
BIOCARTA_CDMAC_PATHWAY,CUZD1 FOS HRAS JUN MAP2K1 MAPK1 MAPK3 MYC NFKB1 NFKBIA PLCB1 PRKCA PRKCB RAF1 RELA TNF
BIOCARTA_CELLCYCLE_PATHWAY,CCNA1 CCNB1 CCND1 CCND2 CCND3 CCNE1 CCNH CDC25A CDK1 CDK2 CDK4 CDK6 CDK7 CDKN1A CDKN1B CDKN2A CDKN2B CDKN2C CDKN2D E2F1 RB1 RBL1 TFDP1
BIOCARTA_CERAMIDE_PATHWAY,AIFM1 BAD BAX BCL2 CASP8 FADD MAP2K1 MAP2K4 MAP3K1 MAPK1 MAPK3 MAPK8 NFKB1 NSMAF RAF1 RELA RIPK1 SMPD1 TNFRSF1A TRADD TRAF2
BIOCARTA_CFTR_PATHWAY,ADCY1 ADRB2 CFTR EZR GNAS PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B SLC9A3R1
BIOCARTA_CHEMICAL_PATHWAY,AKT1 APAF1 ATM BAD BAX BCL2 BCL2L1 BID CASP3 CASP6 CASP7 CASP9 EIF2S1 PARP1 PRKCA PRKCB PTK2 PXN STAT1 TLN1 TP53
BIOCARTA_CK1_PATHWAY,CDK5 CDK5R1 CSNK1D DRD1 DRD2 GRM1 PLCB1 PPP1CA PPP1R1B PPP2CA PPP3CA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B
BIOCARTA_CREB_PATHWAY,ADCY1 AKT1 CAMK2A CAMK2B CAMK2D CAMK2G CREB1 GNAS GRB2 HRAS MAPK1 MAPK14 MAPK3 PIK3CA PIK3R1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB RAC1 RPS6KA1 RPS6KA5 SOS1
BIOCARTA_CSK_PATHWAY,ADCY1 CD247 CD3D CD3E CD3G CD4 CREBBP CSK GNAS GNB1 GNGT1 HLA-DRA LCK PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PTPRC ZAP70
BIOCARTA_CTCF_PATHWAY,CD79A CD79B CDKN1B CDKN2A MDM2 MTOR MYC PIK3CA PIK3CG PIK3R1 PPP2CA PTEN RPS6KB1 SMAD1 SMAD4 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 TGFBR3 TP53
BIOCARTA_CTLA4_PATHWAY,CD247 CD28 CD3D CD3E CD3G CD80 CD86 CTLA4 GRB2 HLA-DRA ICOS ICOSLG IL2 ITK LCK PIK3CA PIK3R1 PTPN11
BIOCARTA_CTL_PATHWAY,B2M CD247 CD3D CD3E CD3G FAS FASLG GZMB ICAM1 ITGAL ITGB2 PRF1
BIOCARTA_CXCR4_PATHWAY,BCAR1 CRK CXCL12 CXCR4 GNAI1 GNAQ GNB1 GNGT1 HRAS MAP2K1 MAPK1 MAPK3 NFKB1 PIK3C2G PIK3CA PIK3R1 PLCG1 PRKCA PRKCB PTK2 PTK2B PXN RAF1 RELA
BIOCARTA_D4GDI_PATHWAY,APAF1 ARHGAP5 ARHGDIB CASP1 CASP10 CASP3 CASP8 CASP9 GZMB JUN PARP1 PRF1
BIOCARTA_DEATH_PATHWAY,APAF1 BCL2 BID BIRC2 BIRC3 CASP10 CASP3 CASP6 CASP7 CASP8 CASP9 CFLAR CHUK DFFA DFFB FADD GAS2 LMNA NFKB1 NFKBIA RELA RIPK1 SPTAN1 TNFRSF10A TNFRSF10B TNFRSF25 TNFSF10 TNFSF12 TRADD TRAF2 XIAP
BIOCARTA_DREAM_PATHWAY,CREB1 CREM FOS JUN KCNIP3 MAPK3 OPRK1 POLR2A PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B
BIOCARTA_ECM_PATHWAY,ARHGAP5 DIAPH1 FYN GSN HRAS ITGA1 ITGB1 MAP2K1 MAPK1 MAPK3 MYL2 MYLK PFN1 PIK3CA PIK3CG PIK3R1 PTK2 PXN RAF1 RHOA ROCK1 SHC1 SRC TLN1
BIOCARTA_EDG1_PATHWAY,ADCY1 AKT1 ASAH1 GNAI1 GNB1 GNGT1 ITGAV ITGB3 MAPK1 MAPK3 PDGFA PDGFRA PIK3CA PIK3CG PIK3R1 PLCB1 PRKCA PRKCB PTK2 RAC1 RHOA S1PR1 SMPD1 SMPD2 SPHK1 SPHKAP SRC
BIOCARTA_EGFR_SMRTE_PATHWAY,EGF EGFR MAP2K1 MAP3K1 MAPK14 NCOR2 RARA RXRA THRA THRB ZBTB16
BIOCARTA_EGF_PATHWAY,CSNK2A1 EGF EGFR ELK1 FOS GRB2 HRAS JAK1 JUN MAP2K1 MAP2K4 MAP3K1 MAPK3 MAPK8 PIK3CA PIK3R1 PLCG1 PRKCA PRKCB RAF1 RASA1 SHC1 SOS1 SRF STAT1 STAT2 STAT3 STAT4 STAT5A STAT5B STAT6
BIOCARTA_EIF2_PATHWAY,EIF2AK1 EIF2AK2 EIF2AK3 EIF2AK4 EIF2B5 EIF2S1 EIF2S2 EIF2S3 EIF5 GSK3B PPP1CA
